id_asegurado,segmento,ciudad,antiguedad_meses,score_cliente,telefono,en_lista_restrictiva,numero_polizas,reclamos_ultimos_12_meses,mora_actual
A00001,Masivo,Quito,71,550,0939958838,False,2,6,False
A00002,Preferente,Guayaquil,174,858,0921668732,False,2,8,False
A00003,Pyme,Quito,8,395,0939345092,False,2,4,False
A00004,Preferente,Portoviejo,155,327,0985329037,False,1,1,False
A00005,Preferente,Portoviejo,108,525,0970291817,False,2,6,True
A00006,Corporativo,Quito,41,732,0955667651,False,1,0,False
A00007,Corporativo,Cuenca,56,644,0923718431,False,2,1,False
A00008,Masivo,Loja,25,667,0956164955,False,2,3,False
A00009,Corporativo,Quito,118,849,0926753883,False,1,4,True
A00010,Pyme,Guayaquil,142,600,0994374605,False,1,1,False
A00011,Corporativo,Riobamba,50,371,0916150444,False,2,3,False
A00012,Preferente,Manta,21,538,0923556182,False,1,1,False
A00013,Pyme,Manta,117,673,0931831063,False,1,2,False
A00014,Corporativo,Machala,54,573,0996977837,False,1,0,False
A00015,Masivo,Riobamba,163,475,0981691040,False,2,1,False
A00016,Preferente,Cuenca,119,688,0946231783,False,1,0,False
A00017,Preferente,Machala,15,534,0914308421,False,2,1,False
A00018,Corporativo,Loja,69,367,0938317637,False,1,4,True
A00019,Corporativo,Ambato,168,811,0963100814,False,1,1,False
A00020,Pyme,Cuenca,68,442,0943101783,False,2,1,False
A00021,Corporativo,Riobamba,110,897,0963606628,False,1,3,False
A00022,Corporativo,Ambato,36,821,0976238574,False,1,1,False
A00023,Masivo,Quito,29,456,0994214382,False,2,2,False
A00024,Preferente,Loja,153,365,0961642594,False,2,1,False
A00025,Pyme,Riobamba,120,841,0943744231,False,1,0,False
A00026,Masivo,Guayaquil,175,849,0945812670,False,1,0,False
A00027,Corporativo,Guayaquil,76,745,0931227574,False,2,3,False
A00028,Pyme,Quito,68,812,0933978249,False,2,1,True
A00029,Masivo,Manta,164,819,0991734598,False,1,0,False
A00030,Preferente,Cuenca,96,465,0982394227,False,1,5,False
A00031,Masivo,Riobamba,83,800,0912614124,False,1,0,False
A00032,Masivo,Machala,79,545,0917774584,False,2,2,False
A00033,Preferente,Riobamba,21,387,0975228535,False,1,3,False
A00034,Masivo,Portoviejo,33,431,0998550256,False,2,5,False
A00035,Pyme,Portoviejo,43,571,0980823176,False,1,0,False
A00036,Pyme,Ambato,139,505,0951837852,False,2,3,False
A00037,Pyme,Machala,113,829,0970597444,False,1,1,True
A00038,Masivo,Ambato,58,365,0955377076,False,1,1,False
A00039,Masivo,Riobamba,142,535,0988979095,False,1,3,False
A00040,Preferente,Quito,19,360,0940728046,False,1,1,False
A00041,Masivo,Quito,85,372,0979008866,False,2,2,False
A00042,Preferente,Manta,172,797,0938754377,False,1,4,False
A00043,Preferente,Riobamba,148,784,0942614537,False,2,1,False
A00044,Pyme,Loja,49,396,0923009833,False,2,1,False
A00045,Pyme,Machala,109,720,0972682989,False,2,1,False
A00046,Masivo,Guayaquil,16,712,0955540424,False,2,5,False
A00047,Masivo,Ambato,50,494,0981979055,False,2,4,False
A00048,Pyme,Cuenca,109,487,0947385696,False,1,2,False
A00049,Pyme,Ambato,20,753,0983863413,False,1,0,False
A00050,Masivo,Quito,167,853,0911980765,False,1,4,True
A00051,Masivo,Ambato,43,716,0975181648,False,2,4,False
A00052,Pyme,Ambato,103,360,0932097220,False,1,0,True
A00053,Pyme,Quito,100,571,0971070189,False,1,6,False
A00054,Corporativo,Loja,179,869,0998834863,False,1,2,False
A00055,Pyme,Cuenca,49,603,0939219319,False,2,3,False
A00056,Masivo,Riobamba,139,362,0952091325,False,1,4,False
A00057,Masivo,Quito,150,788,0977491435,False,2,4,False
A00058,Preferente,Quito,131,382,0934941004,False,2,2,False
A00059,Masivo,Riobamba,18,540,0964193837,False,2,2,True
